Id,OldName,NewName
42291,"11339966 CANADA INC O/A TRUDEL EXCAVATING","TRUDEL EXCAVATING"
48077,"1138371 AB Ltd. o/a Topline Drywall","1138371 AB Ltd.Topline Drywall"
48011,"1138371 AB Ltd. o/a Topline Drywall & Painting","1138371 AB Ltd.Topline Drywall & Painting"
47135,"1138371 Alberta Ltd. o/a Topline Drywall","1138371 Alberta Ltd.Topline Drywall"
47015,"1138371 Alberta Ltd. o/a Topline Drywall & Painting","1138371 Alberta Ltd.Topline Drywall & Painting"
48468,"11425579 Canada Inc. o/a William Sons","11425579 Canada Inc.William Sons"
977,"1186254 Alberta Ltd. O/A Silverlady Construction Ltd.","1186254 Alberta Ltd.Silverlady Construction Ltd."
979,"1190428 Alberta Ltd o/a RTM Electric","RTM Electric"
981,"1190428 Alberta Ltd. o/a RMT Electric","1190428 Alberta Ltd.RMT Electric"
65831,"12060477 CANADA INC O/A BRANCH","BRANCH"
39235,"12060477 CANADA INC. O/A Branch Audio Visual","12060477 CANADA INC.Branch Audio Visual"
989,"1209432 Alberta Ltd. o/a Concrete Lifting","1209432 Alberta Ltd.Concrete Lifting"
53172,"1210435 ONTARIO INC. O/A SNY","1210435 ONTARIO INC.SNY"
992,"1210926 Alberta Ltd. o/a Tayo Construction","1210926 Alberta Ltd.Tayo Construction"
993,"1216808 Alberta Ltd. o/a Prairie Bailiff Services","1216808 Alberta Ltd.Prairie Bailiff Services"
998,"1234625 Alberta Inc. O/A Colosso Vision Award","1234625 Alberta Inc.Colosso Vision Award"
1001,"1246746 AB Ltd o/a High Country Vac Services","1246746 AB LtdHigh Country Vac Services"
42036,"1259222 ONTARIO ONC o/a DUNIT CONTRACTING","1259222 ONTARIO ONCDUNIT CONTRACTING"
1008,"1270252 Alberta Inc O/A JMS Construction","1270252 Alberta IncJMS Construction"
1015,"1287104 Alberta Ltd. o/a Klassen Construction","1287104 Alberta Ltd.Klassen Construction"
48473,"1288808 ONTARIO LTD o/a B&J CONTRACTING","1288808 ONTARIO LTDB&J CONTRACTING"
1017,"1291640 Alberta Inc. o/a Taylor Construction","1291640 Alberta Inc.Taylor Construction"
1023,"1307695 Alberta Ltd. o/a 640 Earthworks","1307695 Alberta Ltd.640 Earthworks"
46748,"1311302 Ontario Liminted o/a Kepler Bell Contracting","1311302 Ontario LimintedKepler Bell Contracting"
46685,"1311302 Ontario Limited o/a Keepler Bell Contracting","1311302 Ontario LimitedKeepler Bell Contracting"
46727,"1311302 Ontario Limited o/a Kepler Bell","1311302 Ontario LimitedKepler Bell"
46671,"1311302 Ontario Limited o/a Kepler Bell Contracting","1311302 Ontario LimitedKepler Bell Contracting"
42461,"1311864 ONTARIO O/A BC AUTOMATION","1311864 ONTARIOBC AUTOMATION"
39199,"1317855 ONTARIO INC. O/A HOLMES & BRAKEL BUSINESS INTERIORS","1317855 ONTARIO INC.HOLMES & BRAKEL BUSINESS INTERIORS"
1026,"1320971 Ontario Ltd o/a Candent","1320971 Ontario LtdCandent"
1041,"1400336 Alberta Ltd. o/a The Hat Catering Services","1400336 Alberta Ltd.The Hat Catering Services"
1042,"1400346 Alberta Ltd. o/a the Hat Catering Services","1400346 Alberta Ltd.the Hat Catering Services"
1043,"1416740 ALBERTA LTD O/A OFFICE MOVE PRO","OFFICE MOVE PRO"
1045,"1418524 Alberta Ltd. o/a Chesebrough Property Management","1418524 Alberta Ltd.Chesebrough Property Management"
1046,"1418524 Alberta Ltd. o/a Octavia Group","1418524 Alberta Ltd.Octavia Group"
47046,"1425786 Ontario o/a Wylie Electric","1425786 OntarioWylie Electric"
1048,"1437467 Ontario Inc. O/A Business World & FirstChoice (Group)","1437467 Ontario Inc.Business World & FirstChoice (Group)"
1051,"1448506 AB. Ltd. o/a Everything Concrete","1448506 AB. Ltd.Everything Concrete"
44451,"1468792 ONTARIO INC O/A GDB CONSTRUCTEURS","1468792 ONTARIO INCGDB CONSTRUCTEURS"
1060,"1469210 AB Ltd. o/a Simmonds Contracting Ltd.","1469210 AB Ltd.Simmonds Contracting Ltd."
1065,"1498681 Alberta Ltd. o/a Lea Painting","1498681 Alberta Ltd.Lea Painting"
1066,"1498681 Alberta Ltd. o/a Lea Painting & Construction","1498681 Alberta Ltd.Lea Painting & Construction"
1089,"1557245 Alberta LTD o/a Capitall Exterior Solutions","Capitall Exterior Solutions"
42057,"1563433 ONTARIO INC. O/A EVANS ELECTRICAL SERVICES","1563433 ONTARIO INC.EVANS ELECTRICAL SERVICES"
63225,"1568796 ONTARIO INC O/A RENOKERW","1568796 ONTARIO INCRENOKERW"
1106,"1579754 Alberta Ltd (Seahorse Aquatic Weedcutting) o/a Seahorse Aquatic Weedcutting","(Seahorse Aquatic Weedcutting)Seahorse Aquatic Weedcutting"
1109,"1583333 Alberta Ltd. o/a Homepros Restorations","1583333 Alberta Ltd.Homepros Restorations"
1111,"1595502 Alberta Ltd o/a EcoGroundworks","EcoGroundworks"
1114,"1621494 Alberta Ltd. o/a Canada Mat","1621494 Alberta Ltd.Canada Mat"
46838,"1622294 Ontario Inc o/a Universal Mechanical & Construction","1622294 Ontario IncUniversal Mechanical & Construction"
46783,"1622294 Ontario Inc. o/a Universal Mechanical","1622294 Ontario Inc.Universal Mechanical"
47442,"1622294 Ontario Inc. o/a Universal Mechanical & Construction Services","1622294 Ontario Inc.Universal Mechanical & Construction Services"
47216,"1622294 Ontarion Inc. o/a Universal Mechanical & Construction Services","1622294 Ontarion Inc.Universal Mechanical & Construction Services"
1121,"1630030 Alberta Ltd o/a Century Foods","Century Foods"
1129,"1686301 Alberta Ltd. O/A McLeod Valley Sand and Gravel","1686301 Alberta Ltd.McLeod Valley Sand and Gravel"
1134,"1700451 Alberta Ltd. O/A Novo Blinds","1700451 Alberta Ltd.Novo Blinds"
39126,"170963 CANADA INC. O/A D2K MARKETING COMMUNICATIONS","170963 CANADA INC.D2K MARKETING COMMUNICATIONS"
1139,"1728755 Alberta Ltd. o/a Evolution Mechanical Ltd.","1728755 Alberta Ltd.Evolution Mechanical Ltd."
42576,"1754529 ALBERTA LTD O/A TERRY'S CLASSIC / WHITECOURT","TERRY'S CLASSIC / WHITECOURT"
42383,"1754529 ALBERTA LTD O/A TERRY'S CLASSIC CONSTRUCTION","TERRY'S CLASSIC CONSTRUCTION"
1146,"1764449 Alberta ltd (Shairose Lalani Management Consulting) successful respondent","(Shairose Lalani Management Consulting)"
1150,"1772387 Alberta Limited Partnership o/a Encor by EPCOR","1772387 Alberta Limited PartnershipEncor by EPCOR"
1156,"1782892 AB Inc o/a Summit Property Group","1782892 AB IncSummit Property Group"
1157,"1782892 AB Inc o/a Summit Property Maintenance","1782892 AB IncSummit Property Maintenance"
1160,"1782892 Alberta Inc. o/a Summit Property Group","1782892 Alberta Inc.Summit Property Group"
1161,"1782892 Alberta Inc. o/a Summit Property Maintenance","1782892 Alberta Inc.Summit Property Maintenance"
1164,"1806992 AB Ltd, o/a Servicemaster Restore","1806992 AB Ltd,Servicemaster Restore"
47224,"1809792 Ontario Inc o/a Veenstra Contracting","1809792 Ontario IncVeenstra Contracting"
63197,"1809792 Ontario Inc. O/a Veenstra","1809792 Ontario Inc.Veenstra"
1166,"1823625 Alberta Ltd o/a Marshall Lines 2014","Marshall Lines 2014"
1172,"1830122 Alberta Ltd. o/a Gino DeLuca","1830122 Alberta Ltd.Gino DeLuca"
1181,"1871084 Alberta Ltd. o/a Norkraft Industries","1871084 Alberta Ltd.Norkraft Industries"
1187,"1899325 Alberta Ltd o/a The Grounds Guys","The Grounds Guys"
1194,"1953901 Alberta Ltd. o/a Steam 'N' Weeds","1953901 Alberta Ltd.Steam 'N' Weeds"
1199,"1987013 Alberta Ltd o/a Paula DeLuca","Paula DeLuca"
1202,"1993872 Alberta Ltd. o/a Elite Site Services","1993872 Alberta Ltd.Elite Site Services"
1203,"1998372 AB Ltd o/a Elite Site Services","1998372 AB LtdElite Site Services"
1204,"1998372 Alberta Ltd o/a Elite Site Services","Elite Site Services"
1215,"2036326 Alberta Ltd. o/a South West Waste Management","2036326 Alberta Ltd.South West Waste Management"
1216,"2039856 Alberta Ltd o/a Whidden Construction Group","Whidden Construction Group"
50987,"2107897 ONTARIO INC. O/A STAR TOILE","2107897 ONTARIO INC.STAR TOILE"
1225,"2128222 Ab Ltd. o/a Paragon Custom Crushing","2128222 Ab Ltd.Paragon Custom Crushing"
44508,"2145675 ONTARIO INC O/A DEMOLITION","2145675 ONTARIO INCDEMOLITION"
46942,"2145675 Ontario Inc. o/a Demolition Plus","2145675 Ontario Inc.Demolition Plus"
1229,"2156473 AB LTD. O/A Forevergreen Forestry","2156473 AB LTD.Forevergreen Forestry"
52974,"2189040 AB LTD. O/A GREENCUT GROUP","2189040 AB LTD.GREENCUT GROUP"
1241,"2220235 AB CORP o/a DSC Construction Inc.","2220235 AB CORPDSC Construction Inc."
1243,"2248686 Alberta Ltd. O/A Liquid Lawn Yard Care Inc.","2248686 Alberta Ltd.Liquid Lawn Yard Care Inc."
1245,"2249182 Alberta Ltd o/a Premiere Builders","Premiere Builders"
1249,"226810 Alberta Ltd. o/a Lost Creek Services","226810 Alberta Ltd.Lost Creek Services"
42313,"2286583 ONTARIO INC O/A EXTREME FENCING","2286583 ONTARIO INCEXTREME FENCING"
1254,"2293367 Alberta Ltd. O/A K&K Prairie Recycling Services","2293367 Alberta Ltd.K&K Prairie Recycling Services"
1255,"2305249 Alberta Ltd. o/a OSD Group","2305249 Alberta Ltd.OSD Group"
1257,"2316480 Alberta Ltd O/A pipikwan pehtakwan","pipikwan pehtakwan"
63700,"2325657 Ontario Ltd o/a Samson Management","2325657 Ontario LtdSamson Management"
63813,"2325657 Ontario Ltd o/a Samson Mgmt","2325657 Ontario LtdSamson Mgmt"
1260,"2330849 Alberta Ltd. O/A Dairy Lane Systems","2330849 Alberta Ltd.Dairy Lane Systems"
1262,"2344532 Ontario Inc O/A Instrucan Scientific Ltd.","2344532 Ontario IncInstrucan Scientific Ltd."
1264,"2374167 Alberta Ltd o/a Premium Engineering","Premium Engineering"
44675,"2775738 ONTARIO INC. O/A WARKENTIN","2775738 ONTARIO INC.WARKENTIN"
1274,"291083 Alberta Ltd. o/a Riverside Marine","291083 Alberta Ltd.Riverside Marine"
48669,"3296151 Nova Scotia Limited o/a Metro Roofing","3296151 Nova Scotia LimitedMetro Roofing"
39226,"3492125 CANADA INC. O/A Dennery Resources Inc.","3492125 CANADA INC.Dennery Resources Inc."
1296,"360326 Alberta Ltd. o/a Peerless Building Products","360326 Alberta Ltd.Peerless Building Products"
1301,"375144 Alberta Ltd o/a Mike's Electric","Mike's Electric"
1327,"3M Canada Company Successful Bidder","3M Canada Company"
42532,"4016459 CANADA INC O/A SODBUSTERS","SODBUSTERS"
1337,"404281 Alberta Ltd. o/a Cetus Automotive Repair Centres","404281 Alberta Ltd.Cetus Automotive Repair Centres"
58957,"40859 Yukon Inc. O/A Dave's Cleaning","40859 Yukon Inc.Dave's Cleaning"
63806,"44054 Ontario Ltd o/a Don Oliver Excavating","44054 Ontario LtdDon Oliver Excavating"
47267,"5029406 Manitoba Ltd o/a True Dimensions","5029406 Manitoba LtdTrue Dimensions"
55328,"5038227 ONTARIO INC O/A FLEMING","5038227 ONTARIO INCFLEMING"
1376,"550338 Alberta Ltd o/a ServiceMaster of Calgary","ServiceMaster of Calgary"
1379,"575665 Alberta Ltd o/a D-Kazz Contracting","D-Kazz Contracting"
1381,"579453 Ontario Inc o/a MANTECH","579453 Ontario IncMANTECH"
1382,"586307 Alberta Ltd. o/a Crowfoot Wine & Spirits","586307 Alberta Ltd.Crowfoot Wine & Spirits"
1385,"612645 Alberta Ltd. o/a CTC Golf and Turf","612645 Alberta Ltd.CTC Golf and Turf"
39243,"6175015 CANADA INC. O/A ADSS Ottawa","6175015 CANADA INC.ADSS Ottawa"
1389,"624091 Alberta Ltd. o/a R & N Maintenance","624091 Alberta Ltd.R & N Maintenance"
47339,"647514 Ontario Inc o/a Saffco Elect & Heating","647514 Ontario IncSaffco Elect & Heating"
47679,"647514 Ontario Inc o/a Saffco Electrical Heating and Plumbing","647514 Ontario IncSaffco Electrical Heating and Plumbing"
48040,"647514 Ontario Inc o/a SAFFCO Electrical, Heating & Plumbing","647514 Ontario IncSAFFCO Electrical, Heating & Plumbing"
1395,"655623 B.C. Ltd. o/a Ocean Equipment 3% discount","655623 B.C. Ltd.Ocean Equipment 3% discount"
59515,"657446 ONTARIO LIMITED O/A ROD WESSELL AND SON CONTRACTING","657446 ONTARIO LIMITEDROD WESSELL AND SON CONTRACTING"
63314,"668975 NB Ltd o/a TNT Construction & Maintenance","668975 NB LtdTNT Construction & Maintenance"
63103,"668975 NB Ltd. o/a TNT Construction and Maintenance","668975 NB Ltd.TNT Construction and Maintenance"
63113,"6689975 NB Ltd. o/a TNT Construction & Maintenance","6689975 NB Ltd.TNT Construction & Maintenance"
1401,"705329 AB Ltd O/A Canadian Dent","705329 AB LtdCanadian Dent"
1402,"708971 Alberta Ltd o/a Altitude Communications","Altitude Communications"
40558,"7187823 CANADA INC. O/A CLS ROOFING","7187823 CANADA INC.CLS ROOFING"
39102,"7260491 CANADA INC O/A Kmotions","Kmotions"
49591,"727619 Alberta Ltd. o/a Roughrider","727619 Alberta Ltd.Roughrider"
46960,"784437 Ontario Inc o/a Snyder Construction","784437 Ontario IncSnyder Construction"
1416,"788758 Alberta Inc o/a Huberdeau Forest Consulting","788758 Alberta IncHuberdeau Forest Consulting"
39061,"8005931 Canada Inc. o/a Grey Oak Consulting","8005931 Canada Inc.Grey Oak Consulting"
1417,"804715 AB Ltd. O/A Xpert Office Solutions","804715 AB Ltd.Xpert Office Solutions"
41696,"839945 YUKON INC. O/A MOFFAT ELECTRICAL CONTRACTING","839945 YUKON INC.MOFFAT ELECTRICAL CONTRACTING"
57748,"8513929 CANADA INC O/A ONPAR SOLUTIONS","ONPAR SOLUTIONS"
62961,"859538 Alberta Ltd O/A National Growth Partners","National Growth Partners"
42062,"883264 ONTARIO LTD O/A VINSON WELL DRILLING","883264 ONTARIO LTDVINSON WELL DRILLING"
1436,"883492 AB Ltd o/a Pinnacle Services","883492 AB LtdPinnacle Services"
1437,"883492 Alberta Ltd. O/A Pinnacle Services","883492 Alberta Ltd.Pinnacle Services"
1438,"883492 Alberta Ltd. O/A Pinnacle Services (Pinnacle Services)","883492 Alberta Ltd.Pinnacle Services (Pinnacle Services)"
39105,"8847452 CANADA INC O/A I.C.L.","I.C.L."
1444,"898845 Alberta Ltd. o/a Link Builders","898845 Alberta Ltd.Link Builders"
1445,"898845 Alberta O/A Link Builders","898845 AlbertaLink Builders"
1449,"903564 Alta Ltd. o/a Hannigan's Paint & Decor","903564 Alta Ltd.Hannigan's Paint & Decor"
39145,"9051-8176 QUÉBEC INC. O/A KOCH RICHARD","9051-8176 QUÉBEC INC.KOCH RICHARD"
48430,"916729 AB Ltd o/a Action Plus Flooring","916729 AB LtdAction Plus Flooring"
46993,"916729 Alberta Ltd. o/a Action Plus Flooring","916729 Alberta Ltd.Action Plus Flooring"
47081,"9205187 Canada Ltd. o/a Morven Construction","9205187 Canada Ltd.Morven Construction"
39477,"9416595 CANADA INC. O/A ISOSPARK ANALYTICAL SOLUTIONS","9416595 CANADA INC.ISOSPARK ANALYTICAL SOLUTIONS"
47171,"995451 Ontario Inc. o/a Quality Mechanical","995451 Ontario Inc.Quality Mechanical"
1535,"AAA Striping o/a Swerdna Services Ltd.","AAA StripingSwerdna Services Ltd."
1543,"Aaron Cook Environmental Services o/a A.C.E.S.","Aaron Cook Environmental ServicesA.C.E.S."
1708,"Acron Roofing Systems Inc. Successful bidder","Acron Roofing Systems Inc."
47346,"Adias Impex Ltd. o/a Carpet Plus Flooring","Adias Impex Ltd.Carpet Plus Flooring"
39129,"ADIRONDACK INFORMATION MANAGEMENT INC., AMITA CORPORATION, ARTEMP PERSONNEL SERVICES INC., THE AIM GROUP INC., IN JOINT VENTURE O/A ADIRONDACK INFORMATION MANAGEMENT INC.","ADIRONDACK INFORMATION MANAGEMENT INC., AMITA CORPORATION, ARTEMP PERSONNEL SERVICES INC., THE AIM GROUP INC., IN JOINT VENTUREADIRONDACK INFORMATION MANAGEMENT INC."
1943,"Airdrie Tractorland based on a number of weighted factors the successful bidder is Airdrie Tractorland.","Airdrie Tractorland based on a number of weighted factors the"
2057,"Alberta Traffic Supply Ltd Successful Bidder","Alberta Traffic Supply Ltd"
2170,"Allstar Show Industries Successful Bidder for Sound System","Allstar Show Industries"
2222,"ALS Global Successful Bidder","ALS Global"
2261,"Al-Terra Engineering Ltd. Successful bidder","Al-Terra Engineering Ltd."
2282,"Alzac Holdings Ltd o/a Prime Time Courier","Alzac Holdings LtdPrime Time Courier"
2391,"Andrew Spears o/a Alberta Healthy Vending","Andrew SpearsAlberta Healthy Vending"
2577,"Architecture: Arndt Tkalcic Bengert Successful bidder","Architecture: Arndt Tkalcic Bengert"
2602,"Arizona Transformer Company (TraffiCalm Systems) Successful Bidder","Arizona Transformer Company (TraffiCalm Systems)"
2923,"Aztec Renovations & Refit Inc. (also as: Aztec Group) Based on the best value for the City of Airdrie Aztec Renovations & Refit Inc was the successful bidder","Aztec Renovations & Refit Inc. (also as: Aztec Group) Based on the best value for the City of Airdrie Aztec Renovations & Refit Inc was the"
2949,"B.G.E. Service & Supply Ltd. (The Filter Shop) Successful Bidder","B.G.E. Service & Supply Ltd. (The Filter Shop)"
3134,"Bearcom Management Group Ltd (The Bus Centre) Successful bidder","Bearcom Management Group Ltd (The Bus Centre)"
3157,"Bee-Clean Building Maintenance Inc. Successful Bidder","Bee-Clean Building Maintenance Inc."
3426,"Blackpress Group Ltd o/a CentralWeb","Blackpress Group LtdCentralWeb"
59593,"BLUE WATER FLOORING INC O/A SERVICE MASTER GREY BRUCE","BLUE WATER FLOORING INCSERVICE MASTER GREY BRUCE"
3491,"Bluestone Leadership Services Inc. o/a Altopartners","Bluestone Leadership Services Inc.Altopartners"
3710,"Brett Young Seeds Ltd. (BrettYoung) Successful Bidder","Brett Young Seeds Ltd. (BrettYoung)"
39203,"Brican Personnel Inc. O/A SPI Consultants","Brican Personnel Inc.SPI Consultants"
3873,"Bushman Inc o/a Animal Damage Control","Bushman IncAnimal Damage Control"
41770,"CADDYLACH GROUP INC O/A CURRENT SYSTEMS SERVICE","CADDYLACH GROUP INCCURRENT SYSTEMS SERVICE"
4037,"Calibre Developments Inc. O/A Calibre Co","Calibre Developments Inc.Calibre Co"
4038,"Calibre Developments Inc. O/A Calibre Construction","Calibre Developments Inc.Calibre Construction"
48627,"Canada Inc. o/a William Sons","Canada Inc.William Sons"
55592,"Canadian Standards Association o/a CSA Group","Canadian Standards AssociationCSA Group"
4243,"Canem Systems Ltd. Successful Bidder","Canem Systems Ltd."
4244,"CanemSystems Ltd. Highest Scoring Proponent","CanemSystems Ltd."
4274,"Can-Traffic Services Ltd Successful Bidder","Can-Traffic Services Ltd"
4414,"Cart Construction o/a Applecart Logistics Inc.","Cart ConstructionApplecart Logistics Inc."
4528,"CDML Consulting ALB Ltd (CDML) Successful bidder for this project","CDML Consulting ALB Ltd (CDML)"
4532,"CDN Energy and Power Corp o/a Canadian Energy","CDN Energy and Power CorpCanadian Energy"
4570,"Centaur Products Inc. Based on the highest evlauated score Centaur Products was the successful bidder","Centaur Products Inc. Based on the highest evlauated score Centaur Products was the"
4644,"Cervus Equipment Best on the best value for the City for deliverables set out in the RFQ. Cervus Equipment was the successful bidder","Cervus Equipment Best on the best value for the City for deliverables set out in the RFQ. Cervus Equipment was the"
4699,"Champion Feed Services Ltd. Barrhead Successful Bidder","Champion Feed Services Ltd. Barrhead"
46614,"CHOQUETTE CKS o/a Linton Services","CHOQUETTE CKSLinton Services"
47076,"CHOQUETTE CKS o/a LINTON SERVICES 1992 INC.","CHOQUETTE CKSLINTON SERVICES 1992 INC."
4814,"Chris Friesen o/a Friesen Sports Turf","Chris FriesenFriesen Sports Turf"
4825,"Christie Lites Bases on the highest weighted average score Christie Lites was the successful bidder","Christie Lites Bases on the highest weighted average score Christie Lites was the"
4885,"City Lumber and Millwork Successful Bidder","City Lumber and Millwork"
4915,"CKB Construction (2004) Ltd. Successful Bidder","CKB Construction (2004) Ltd."
5384,"Corix Water Products (PRVs, Water Systems & Waterworks) Successful Bidder","Corix Water Products (PRVs, Water Systems & Waterworks)"
5417,"Corporate Express O/A Staples Advantage Canada Awarded to Corporate Express","Corporate ExpressStaples Advantage Canada Awarded to Corporate Express"
5442,"Cougar Ridge Computer Systems Ltd. O/A Inspiris","Cougar Ridge Computer Systems Ltd.Inspiris"
5595,"Crystal Glass Canada Ltd. Successful Bidder","Crystal Glass Canada Ltd."
5632,"Cubex Limited Based on the highest evalauted score Cubex was the successful bidder","Cubex Limited Based on the highest evalauted score Cubex was the"
5684,"Cutting Edge Construction Ltd O/A Cutting Edge Contracting Ltd","Cutting Edge Construction LtdCutting Edge Contracting Ltd"
64058,"D. Jorgenson Holdings Ltd. o/a Northern Blacktop","D. Jorgenson Holdings Ltd.Northern Blacktop"
6008,"Delnor Construction Ltd. Successful bidder","Delnor Construction Ltd."
6124,"Devlin Construction Ltd. Successful Bidder","Devlin Construction Ltd."
6196,"Diand Rusk o/a Cleaners Warehouse","Diand RuskCleaners Warehouse"
6338,"Donald L.Harrison o/a Madre Tierra Services","Donald L.HarrisonMadre Tierra Services"
6531,"E.V.I Holdings Inc. O/A Echo Valley Irrigation","E.V.I Holdings Inc.Echo Valley Irrigation"
6734,"Edon Properties Inc. o/a Edon Management","Edon Properties Inc.Edon Management"
6888,"Emcee Construction & Management Ltd. Successful bidder","Emcee Construction & Management Ltd."
7094,"Ericson Analytical Services Inc o/a Hillcrest Financial","Ericson Analytical Services IncHillcrest Financial"
7119,"ES OPCO Canada II Ltd. O/A Veseris Canada","ES OPCO Canada II Ltd.Veseris Canada"
39175,"Fine Art Appraisal and Services O/A  The Knowledge Transfer Company (TKTC) Inc","Fine Art Appraisal and ServicesThe Knowledge Transfer Company (TKTC) Inc"
7442,"Finning Successful Bidder","Finning"
7536,"Fleet Brake Parts and Service Successful Bidder","Fleet Brake Parts and Service"
7537,"Fleet Brake Successful bidder","Fleet Brake"
7620,"Foothills Custom Maintenance Ltd o/a Quest Fabrication","Foothills Custom Maintenance LtdQuest Fabrication"
7804,"FST Canada Inc o/a Joe Johnson Equipment","FST Canada IncJoe Johnson Equipment"
7807,"FST Canada O/A JOE JOHNSON EQUIPMENT","FST CanadaJOE JOHNSON EQUIPMENT"
7865,"G.C. HARRIS CONSULTING INC. o/a WMC","G.C. HARRIS CONSULTING INC.WMC"
7956,"Gateway Mechanical Services Inc. Successful bidder","Gateway Mechanical Services Inc."
7981,"GDI Integrated Facility Services Successful Bidder","GDI Integrated Facility Services"
8024,"General Body and Equipment Ltd. Successful Bidder","General Body and Equipment Ltd."
8140,"GHD Limited (GHD) GHD submitted the highest scoring proposal based on the criteria set out in the RFP","GHD Limited (GHD) GHD submitted the"
8145,"Gianni DeLuca O/A Romero Cafeteria","Gianni DeLucaRomero Cafeteria"
8271,"Golder Associates Ltd - National Office Successful Bidder","Golder Associates Ltd - National Office"
8318,"GOUGH & ASSOCIATES LTD. o/a Gutermann Leak Detection","GOUGH & ASSOCIATES LTD.Gutermann Leak Detection"
8365,"Graham Infrastructure LP Successful Bidder","Graham Infrastructure LP"
8409,"Grasschopper Landscaping Ltd. Successful Bidder","Grasschopper Landscaping Ltd."
8499,"Gregg Distributors Co. Ltd. Successful Bidder","Gregg Distributors Co. Ltd."
8563,"GS Holdings Company Ltd. O/A GS Construction","GS Holdings Company Ltd.GS Construction"
8565,"GS Holdings Ltd. o/a GS Construction","GS Holdings Ltd.GS Construction"
8710,"HarGroup Management Consultants Inc. bases on the highest weighted average score the successful bidder is HarGroup.","HarGroup Management Consultants Inc. bases on the highest weighted average score the"
8729,"Harsco Successful Bidders","Harsco"
8854,"Helix Advanced Communications and Infrastructure O/A Westcan Advanced Communications","Helix Advanced Communications and InfrastructureWestcan Advanced Communications"
8872,"Hennessey Industries Canada Successful bidder for this project","Hennessey Industries Canada"
8873,"Hennessey Industries Canada Successful bidder for this projet","Hennessey Industries Canada"
8885,"Heritage Nurseries Ltd. Successful Bidder","Heritage Nurseries Ltd."
8960,"Highlander Enterprises o/a Sanatec Environmental","Highlander EnterprisesSanatec Environmental"
63123,"HKA Global (Canada) Inc o/a Knowles Consultancy Services","HKA Global (Canada) IncKnowles Consultancy Services"
9021,"Hoist Plus Inc. Successful bidder","Hoist Plus Inc."
9137,"Hughes Environmental Services Ltd. (Total Compaction Systems) Based on the highest average score Hughes Environmental Services was the successful bidder for this RFP","Hughes Environmental Services Ltd. (Total Compaction Systems) Based on the highest average score Hughes Environmental Services was the"
39271,"InnVest Hotels GP Ltd. O/A Ottawa","InnVest Hotels GP Ltd.Ottawa"
9542,"Insitucan Services Ltd. Successful Bidder","Insitucan Services Ltd."
9543,"Insitucan Services o/a Infrahydro","Insitucan ServicesInfrahydro"
9599,"Intekra Systems Ltd. successful Respondent","Intekra Systems Ltd."
9714,"IPL Inc. Awarded to the highest average weighted score. IPL was the successful bidder","IPL Inc. Awarded to the highest average weighted score. IPL was the"
39237,"ITEX INC. Integration Group  O/A Itex Inc..,DBA","ITEX INC. Integration GroupItex Inc..,DBA"
42517,"IVGENY DUDAREV O/A MARK N MAX","IVGENY DUDAREVMARK N MAX"
9812,"Ivis Inc. Successful Bidder","Ivis Inc."
53166,"J&A CREATIVE SERVICES INC. O/A J&A","J&A CREATIVE SERVICES INC.J&A"
